gold_label	sentence1	sentence2
Support	a man gives another man a piggyback ride.	they are headed to the hospital
Neutral	a man gives another man a piggyback ride.	many people around them wanted to help
Invalidate	An intense game of women's volleyball is taking place indoors.	The then-onlookers are busy watching cars pass by.
Support	An intense game of women's volleyball is taking place indoors.	watching sporting activities in this place is interesting
Neutral	An intense game of women's volleyball is taking place indoors.	Table tennis is played in enclosed room
Invalidate	Sixteen men in blue and green uniforms are standing on a submarine.	a submarine is under water with sixteen men in it
Support	Sixteen men in blue and green uniforms are standing on a submarine.	The sailors are standing on submarines
Neutral	Sixteen men in blue and green uniforms are standing on a submarine.	submarines can be stood upon
Invalidate	two males and one female drinking beer sitting in chairs	They are going to office
Support	two males and one female drinking beer sitting in chairs	Two men and one woman find it hard to drink beer
Neutral	two males and one female drinking beer sitting in chairs	I would go home drunk these days
Invalidate	An Asian man holding carrying fresh flowers next to a bike with a dog in the backseat.	That man brought flowers at the nursery.
Support	An Asian man holding carrying fresh flowers next to a bike with a dog in the backseat.	The flowers is very beautiful and blossoms
Neutral	An Asian man holding carrying fresh flowers next to a bike with a dog in the backseat.	The dog enjoyed the new bone.
Invalidate	A cat lays on an old woman's shoulder.	The cat jumped and chasing a rat.
Support	A cat lays on an old woman's shoulder.	The cat is very comfortable laying on the woman's shoulder.
Neutral	A cat lays on an old woman's shoulder.	Cats like to lay on a person rather than laying on the sofa.
Invalidate	A man selling ice cream from the sidewalk.	The man goes home and sleeps.
Support	A man selling ice cream from the sidewalk.	The man loves making deals for his product.
Neutral	A man selling ice cream from the sidewalk.	Most people love to eat ice cream.
Invalidate	A goalie in a blue jersey catches a soccer ball by a player in a red jersey.	He kicked the ball to the wrong guy after catching it
Support	A goalie in a blue jersey catches a soccer ball by a player in a red jersey.	The goalie almost hit the judge to prevent the goal
Neutral	A goalie in a blue jersey catches a soccer ball by a player in a red jersey.	The judge argued with the goalie because of a prohibited move on the football field
Invalidate	A black and white dog jumping over a steeple vault at a competition	The dog fell asleep early today after all that activity.
Support	A black and white dog jumping over a steeple vault at a competition	The scores will be revealed shortly.
Neutral	A black and white dog jumping over a steeple vault at a competition	The competition usually stops for a lunch break.
Invalidate	A teenager in a blue Hollister brand sweatshirt adjusts a "Sky-Watcher" telescope.	The teenager cannot see with the telescope because of the clouds.
Support	A teenager in a blue Hollister brand sweatshirt adjusts a "Sky-Watcher" telescope.	The telescope will help him see the sky.
Neutral	A teenager in a blue Hollister brand sweatshirt adjusts a "Sky-Watcher" telescope.	The teenager likes to use the telescope.
Invalidate	A basketball player aims for the goal.	The player is giving interviews
Support	A basketball player aims for the goal.	The player shoots for the rim
Neutral	A basketball player aims for the goal.	Basketball is a sport where the player must have a very good aim
Invalidate	A young boy in a red outfit is climbing up a tree.	A boy walks to school with his parents near a tree.
Support	A young boy in a red outfit is climbing up a tree.	A boy wears sneakers outdoors to play.
Neutral	A young boy in a red outfit is climbing up a tree.	A child who climbs trees is very adventurous.
Invalidate	A group of people are doing yoga.	The group gets some food at a restaurant.
Support	A group of people are doing yoga.	The group moves in different positions.
Neutral	A group of people are doing yoga.	Most people believe yoga is good exercise.
Invalidate	A woman and man interested in an event going on downtown on a busy walking street.	A woman and a man are taking a taxi to go back home.
